ID,left-hand context (one sentence),SENTENCE,right-hand context (one sentence),SOURCE,PET,PET_LEMMATIZED,LITERAL_TRANSLATION,NON_EUPH_EQUIVALENT,NON_EUPH_EQUIVALENT_TRANSLATION,CATEGORY,LABEL,A,J,U,W,EUPH_STATUS
65,"Co do kobiety, której poszukiwaliśmy, nie tylko nadal zamieszkiwała swoją osadę, ale najwyraźniej jej pozycja społeczna jeszcze bardziej wzrosła.",Widać to było po stosunku mieszkańców do jej osoby.,"Darzyli ją wielkim szacunkiem, jak wielkiego władcę.",KWJP,stosunku,stosunek,relationship,-,-,sex,0.0,0,0,0,X,sometimes_euph
66,No i potem panowie się poznają przy którejś Tropikalnej Wyspie.,"Wiachon przejmuje obowiązki „Turka”, a przy tym obaj się świetnie z dziewczynkami bawią.","„Turek” udostępnia samochody, jacht, apartamenty, „Krystek” organizuje ciałka.",KWJP,dziewczynkami,dziewczynka,little girl,prostytutka,prostitute,sex,1.0,1,1,1,X,sometimes_euph
67,Argumenty Zaremby Bielawskiego dotyczące lęku przed kobiecym ciałem znane są w literaturze feministycznej.,"Według Luce Irigaray kobiecość jest utożsamiana z płynnością, męskość – ze stałością; kobieta jest przestrzenią przepływów, jej ciało jest otwarte, miękkie, upłynniające się okresowo i okresowo (ciąża) pozbawione jednostkowości, podatne na skalanie, brud, zakażenia, tym bardziej groźne, że działające nie tylko w przestrzeni, lecz także w czasie – ciało kobiet jest miejscem, gdzie łączą się pokolenia.","Według Camille Paglii cywilizacja w ogóle została stworzona przez mężczyzn po to, „by bronić się przed chtoniczną, cieknącą, płynną kobiecością”.",KWJP,upłynniające,upłynniać,to liquidate,-,-,offenses,0.0,0,0,X,0,sometimes_euph
68,"Drugą ważną informacją, którą musi usłyszeć osoba z traumą wykorzystania seksualnego, jest zapewnienie, że to nie jej wina – że nie na niej spoczywa odpowiedzialność za to, co się stało; wina leży wyłącznie po stronie człowieka, który ją wykorzystywał.","Ważne jest, żeby postawić sprawę jasno: nie ma absolutnie żadnej winy po stronie skrzywdzonego dziecka, zranionej nastolatki czy wykorzystanej osoby dorosłej.","Co jeszcze powinna usłyszeć osoba, która po raz pierwszy zwierza się z traumy wykorzystania?",KWJP,skrzywdzonego,skrzywdzić,to hurt,zgwałcić,to rape,sex,1.0,1,1,1,X,always_euph
69,"Rozgrywka nie trwa długo, dlatego zazwyczaj nikt nie ma oporów przed próbą poprawienia wyniku w kolejnej.","Ważne jest też, że gra równie dobrze się sprawdza zarówno w przypadku partii z udziałem doświadczonych graczy, jak i toczonych w rodzinnym gronie, gdyż potrafi ona naprawdę wciągnąć już ośmiolatka.","W zasadzie jedynym mankamentem tego tytułu jest nietypowy kwadratowy format kart, który utrudnia (szczególnie młodszym graczom) ich trzymanie w ręku w taki sposób, aby były widoczne dla pozostałych uczestników rozgrywki.",KWJP,doświadczonych,Doświadczony,experienced,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
70,"Może więc właśnie dlatego jej głos tak skutecznie burzy i kwestionuje wszystko, co ogranicza i dyscyplinuje ciało, seksualność i język: zasady publicznego zachowania się, granice tego, co można pokazać (i oglądać) na scenie, wyobrażenia norm i moralności, fantazmaty dyskrecji, wstydu, przyzwoitości, stabilności, podział na serio i nieserio, nawyki widzów, a przede wszystkim wszelkie tabu.","W zamian Annie Sprinkle oferuje nie tylko wolność, ale coś więcej – przyzwolenie na płynność i wielość tożsamości, uznanie podmiotowości, obietnicę nieoceniania i całkowite odrzucenie idei ofiarnictwa.","Fakt, że wszystko to rozgrywa się najzupełniej realnie w sferze kobiecej seksualności, sprawia, że o żadnym kompromisie, półśrodkach czy hipokryzji nie może być mowy.",KWJP,coś więcej,coś więcej,something more,-,-,sex,0.0,0,0,0,X,sometimes_euph
71,"Z powodu pośladkowego ułożenia dziecka, lekarz prowadzący ciążę ustalił z nami dokładny termin zgłoszenia się do szpitala, aby przeprowadzić cesarskie cięcie.","W wyznaczony dzień przywiozłem żonę do szpitala, podprowadziłem pod drzwi i musieliśmy się rozstać, bo nikt z rodziny nie był wpuszczany dalej.","Weszła tylko żona, po wcześniejszym zmierzeniu temperatury.",KWJP,podprowadziłem,podprowadzić,to escort/to walk sb to sth,-,-,offenses,0.0,0,0,X,0,sometimes_euph
72,"To w tym momencie tworzymy przestrzeń, w której z chęcią rozgości się „autorytet”.","W wielu przypadkach wygląda to niestety tak, że autorytet mówi: Jestem, posuń się, i przesuwa nas łokciem na brzeg tapczanu, z którego po jednym niefortunnym ruchu spadamy.","Wyjściowo jesteśmy bardzo słabi, zdesperowani.",KWJP,posuń się,posunąć się,to move,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
73,Pomocna dłoń dzielnicowego Złodziej z Nielisza notorycznie kradł gołębie.,"W ubiegłym roku buchnął cztery, rasowe, z gospodarstwa w Średniem Dużem.","Ale że nie chciało mu się wracać do domu na piechotę, machnął na pierwszy samochód, który nadjeżdżał.",KWJP,buchnął,buchnąć,to belch,ukraść,to steal,offenses,1.0,1,1,X,1,sometimes_euph
74,. Powszechnie Włochy uważane są za kraj piękny.,W tym punkcie możemy w Polsce stanąć już na pewniejszym gruncie; każdy kraj jest piękny inaczej.,"Na poziomie obyczaju i mentalności obu naszych narodów mamy ten sam problem do rozwiązania, sumujący się w próbie odpowiedzi na pytanie: więcej nas łączy czy dzieli, więcej jest podobieństw czy różnic?",KWJP,piękny inaczej.,piękny inaczej.,beautiful differently,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
75,"Ważne, że mówią tym językiem, mają tu swoje historie, nie jakieś teoretyczne korzenie rasowe, ale życiowe.","W tym obszarze zachowywać się porządnie to zawsze znaczyło nie dawać dupy najeźdźcom, nie sprzedawać się, nie wstępować do partii, chociaż niektórzy porządni też wstępowali i potem żałowali.","Były w Polakach fajne cechy niepokory, anarchii — świat przyjął, że jest, jak jest, a Polacy, kurczę, nie.",KWJP,sprzedawać się,sprzedawać się,to sell oneself,-,-,sex,1.0,1,0,1,X,always_euph
76,Żarty – niegroźne szpileczki.,"W tym duchu Jerzy Kryszak sugerował, że prezydent Duda dlatego raz za razem kładzie rękę na sercu, bo musieli mu kiedyś podprowadzić portfel i odruch sprawdzania pozostał.",Kabaret Moralnego Niepokoju próbował inscenizować konferencje prasowe nowego prezydenta.,KWJP,podprowadzić,podprowadzić,to escort/to walk sb to sth,ukraść,to steal,offenses,1.0,1,1,X,1,always_euph
77,Nie zwracałam uwagi na kilka wymienianych zdań.,W trakcie puszczania się lepiej jest puszczać pewne słowa mimo uszu.,Rutynowe podejście do zajęcia miało pomóc.,KWJP,puszczania sie,puszczać się,to let go,mieć stosunki płciowe z różnymi mężczyznami,to have sexual intercourses with various men,sex,1.0,1,1,1,X,always_euph
78,"Oczywiście kontakty tych organizacji miały miejsce już wcześniej, jednak utworzenie federacji pozwalało otworzyć nowe możliwości.","W ten sposób zaczęliśmy czerpać korzyści z rozwiązań, z których już od dawna czerpali wrogowie wartości chrześcijańskich, działając w sposób skoordynowany na poziomie międzynarodowym. (…)","W roku 2009 Pro Europa Christiana powołała biuro przedstawicielskie w Brukseli, którym kieruje książę Paul von Oldenburg.",KWJP,czerpali korzyści,czerpać korzyści,to benefit,-,-,offenses,0.0,0,0,X,0,sometimes_euph
79,"Krystyna Trautsolt-Kleyff w swoich badaniach zauważa grupy ludzi żyjących alternatywnie i pozwala sobie na nieco złośliwe uwagi pod ich adresem, zastanawiając się, na ile ich preferencje wynikają z „kabotyństwa i snobizmu, a na ile z autentycznej wrażliwości czy nadwrażliwości”.","W takich mieszkaniach spotyka dekoracje ścienne z desek sedesowych, namalowane na szybie olejną farbą jabłko, zasłaniające nieładny widok za oknem, risotto i wino serwowane w szpitalnej kaczce i basenie.","Odwieczny konflikt romantyków z pozytywistami, jak widać, nie omijał obszaru wzornictwa.",KWJP,nieładny,nieładny,not pretty/unattractive,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
80,"Wysuwam ją, odkładam na krzesło.","W środku są kable USB, słuchawki i kilka pendrive’ów – niektóre otwarte, niektóre nowe, nierozpakowane; do tego spinacze, nie wiedzieć po co, bo nie ma tu żadnych papierów, paszport – i żadnego dyktafonu.","Zaglądam w pusty otwór po szufladzie, wsuwam tam dłoń i znajduję, o dziwo, coś w rodzaju dźwigni.",KWJP,kable,kabel,cable,-,-,offenses,0.0,0,0,X,0,sometimes_euph
81,"W świecie, który tu wytworzyli, nie tyle „ciągle coś jest do zrobienia”, co wciąż rodzi się coś nowego.","W porównaniu z resztą kraju, raczej senną i zaspokajającą się tym, co już jest, Papaya to mikroenklawa życia nienasyconego.","Im dłużej rozmawiamy, tym wyraźniejsze staje się nieoczywiste.",KWJP,zaspokajającą się,zaspokajać się,to please oneself,-,-,sex,0.0,0,0,0,X,sometimes_euph
82,"Tren VII zaczyna się od wezwania skierowanego do przedmiotów związanych z córką, która tym samym pojawia się początkowo w trzeciej osobie, „nieszczęsne ochędóstwo, żałosne ubiory / Mojej najmilszej cory”.",W połowie wiersza jednak pogrążony w żalu ojciec zmienia adresata i kieruje swoje słowa już bezpośrednio do córki: „moja dziewko droga”.,Tren jest wyjątkowy w całym cyklu ze względu na zagęszczenie deminutywów w funkcji spieszczającej.,KWJP,dziewko,dziewka,maiden,-,-,sex,0.0,0,0,0,X,sometimes_euph
83,Miles nie polemizował.,"W podziemnym garażu Joe pożyczył sobie jakiś wóz, ale porzucił go po zaledwie dwustu metrach, przesiadając się do zastępczego pikapu.","– W razie czego powie pan, że został przeze mnie sterroryzowany i uprowadzony.",KWJP,pożyczył,pożyczyć,to borrow/to lend,ukraść,to steal,offenses,1.0,1,1,X,1,sometimes_euph
84,"Z badań opublikowanych w ""Cell Metabolism"" wynika, że informacja o masie ciała ojca jest dziedziczona przez jego dzieci.","W plemnikach jest w pewien sposób zaszyfrowane, czy tata jest przy kości.","Od jakiegoś czasu podkreśla się, że czynniki środowiskowe, dieta i styl życia mają wpływ na zdrowie nie tylko nas samych, ale też naszych dzieci.",KWJP,przy kości,przy kości,close to the bone,gruby,fat,physical appearance,1.0,X,1,1,1,sometimes_euph
85,"Czasem naprawdę wszystko się zgadza, nic nie trzeba mówić, bo to widać gołym okiem, więc samotna koleżanka zazdrośnie patrzy i tylko czeka na okazję, by wyrwać tego supermisia z rąk właścicielki.",W pewnym wieku znalezienie wolnego mężczyzny graniczy z cudem.,"Jeśli jest wspaniały, to czemu jest wolny w wieku czterdziestu lat?",KWJP,pewnym wiek,pewien wiek,certain age,starość,old age,physical appearance,1.0,X,0,1,1,sometimes_euph
86,"Ten brak pisarze portugalscy próbowali w różny sposób kompensować – od Eçy de Queirósa, którego Campos Matos w swojej pionierskiej, stosunkowo niedawno napisanej (2013) pracy pokazał jako konesera głównie płatnej miłości, do Jorge de Seny z jego poetycką wizją Minotaura jako symbolu cielesnych apetytów, a zarazem metaforą mężczyzny przeistoczonego w bestię.","W ostatecznym rozrachunku portugalski Eros zrósł się z Tanatosem, a kochanka stała się Ostatnią Panią z powieści Lídii Jorge pod analogicznym tytułem (A última dona, 1992), damą o srebrnych paznokciach z Infanta José Cardoso Piresa czy wreszcie piękną, acz niesumienną kostuchą zakochaną w wiolonczeliście u José Saramago.","Te erotyczno-tanatyczne obrazy korzenią się tyleż w romantyzmie, co w makabrze epoki baroku i w kulturze ludowej, wyznaczającej kobiecie funkcję czuwania przy umierających i wprowadzania ich w tajemnicę śmierci.",KWJP,kostuchą,kostucha,death reaper,-,-,death,0.0,X,0,0,0,sometimes_euph
87,"Aktor z teatru Warlikowskiego, w kinie praktycznie debiutant.","W obsadzie konsekwentnie postawiłem na ryje, na gęby, które są piękne, ale piękne inaczej, z jakąś skazą.",Można się w nich doszukać cech wspólnych — mają podobny rozstaw oczu.,KWJP,piękne inaczej,piękny inaczej.,beautiful differently,brzydki,ugly,physical appearance,0.0,X,0,1,0,sometimes_euph
88,"Niestety, nieszczęśni wpadli na pomysł, aby zarobek wzbogacić o ekwiwalent uzyskany ze sprzedaży ukradzionych Rasputinowi warzyw.","W nocy szaber, w dzień praca, wieczorkiem upłynnianie towaru, a potem picie późno w noc.","Wszystko szło dobrze do czasu, gdy Rasputin poczęstował ich samogonem, co zrobił nie tylko efektownie, ale i efektywnie, bo zapili się na śmierć.",KWJP,upłynnianie,upłynniać,to liquidate,sprzedawać skradzione rzeczy,to sell stolen things,offenses,1.0,1,1,X,1,always_euph
89,"Mieliśmy opuścić hotel, ponieważ nie mamy prawa w nim przebywać.","W mieście jest tylko jeden hotel, gdzie mogą nocować cudzoziemcy, i mamy się tam przenieść, a oni, dwumetrowy dwudziestoletni zakłopotany glina w przykrótkich dżinsach i dwie urocze gliniareczki, mają nam w tym pomóc.","Odpowiedziałem, że nie ma takiej możliwości, wszyscy śpimy, nasze żony są już w łóżkach, bardzo dziękujemy za troskę, ale do widzenia.",KWJP,glina,glina,clay,policjant,policeman,offenses,1.0,1,1,X,1,sometimes_euph
90,"Przykładem działania stopniowego (por. punkt 7) był Henry Hay (1912–2002), zwany „założycielem współczesnego ruchu gejowskiego”.","W jego życiorysie mieszczą się główne patologie nowoczesności – wyznawca marksizmu, członek prosowieckiej Komunistycznej Partii Ameryki (i to w latach 30., w czasie największych ludobójstw ZSRS!), radykalny zwolennik Freuda, propagator New Age, neopoganin, rozbijacz małżeństw dla swoich homoseksualnych romansów, a także demoralizator młodzieży – m.in. zwolennik jej współżycia ze starszymi mężczyznami.",Jednym z jego postulatów było przekonywanie społeczeństwa o rzekomych ogromnych różnicach między osobami homoseksualnymi a heteroseksualnymi.,KWJP,współżycie,współżycie,coexistence,współżycie płciowe,sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
91,-,"W jednym z lutowych odc. serialu „Barwy szczęścia"", który wyemituje TVP 2, Kajtek (Jakub Dmochowski) zaproponuje Angeli (Helena Englert), żeby w końcu skonsumowali swoją znajomość.",– Już nie mam tyłów w budzie i możemy ze sobą chodzić.,KWJP,skonsumowali,skonsumować,to consume,odbyć stosunek płciowy,to have sexual intercourse,sex,1.0,1,1,1,X,always_euph
92,"Co z tego, że nie ma tam słowa po angielsku, nawet nie ma liter alfabetu łacińskiego, przecież widzę na zdjęciach tofu, owoce morza czy warzywa; wiem, co zamówić.","W jednym miejscu idę do łazienki i widzę, czym różnią się od naszych barów – w koszu obok umywalki pełno ogromnych odciętych rybich głów, wyglądają na karpie, ale długo się nie przyglądam, bo od patrzenia zbiera mi się na bełta.",Najfajniej jest w bocznych uliczkach.,KWJP,bełta,bełt,bolt,wymioty,vomit,physiology,1.0,1,1,X,1,always_euph
93,"Kropla sadła, nitka mięśni A Polacy, co z Polakami?","W herezjach nie jesteśmy zbyt mocni, ale w pięknym wieku XIX dorobiliśmy się kilku marzeń o końcu historii i przemienieniu świata, począwszy od opisanego przez Martina Bubera cadyka z Przysuchy, który w zmaganiach Napoleona z Aleksandrem chciał widzieć zapasy Goga i Magoga, aż po nadzieje akolitów Hoene-Wrońskiego (do którego swego czasu zwróciło się kilku generałów z emigracji listopadowej ze stanowczym apelem, by „napisał książkę, która obali cara”) i Andrzeja Towiańskiego.","Bardziej znaczący jest jednak polski dorobek w wieku XX, nie tyle może jeśli idzie o wiarę [...]",KWJP,pięknym wieku,piękny wiek,beautyful age/century,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
94,Nie mogą tylko zagrażać rodzinie.,"W czasie najbardziej wyuzdanych zabaw Japonka myśli tylko o tym, jak zadowolić mężczyznę.",Każdy biznesmen ma w rozkładzie dnia uciechy cielesne.,KWJP,zadowolić mężczyznę,zadowolić kogoś,to please somebody,doprowadzić do orgazmu,to bring somebody to orgasm,sex,1.0,1,1,1,X,always_euph
95,"Jeżeli w seksbiznesie działa prawo Kopernika-Greshama, Sopot jest tego przykładem – to pierwszy wniosek z tej historii.","W ciągu dwóch dekad miejsce mewek – pewnych siebie, bogatszych od krajowej średniej, znających języki i wymagających wobec mężczyzn – zajęły nastolatki z małych miejscowości i ubogich rodzin.","Zastraszane, wykorzystywane do cna, poniżane.",KWJP,mewek,mewka,little gull,"prostytutka pracująca w miastach portowych, z marynarzami","a prostitute working in port cities, with sailors",sex,1.0,1,1,1,X,always_euph
96,69-letni aktor jest ojcem trójki dzieci. Z pierwszą żoną Iloną ma synów Mikołaja (45 l.) i Wojciecha (39 l.).,"W 2015 roku poślubił o 38 lat młodszą Antoninę (31 l.), córkę piosenkarza Grzegorza Turnaua (52 l.). Cezary Pazura (57 l.) nie baczy na metrykę i płodzi dzieci aż miło.","Z trzecią żoną Edytą (31 l.) ma już trójkę. Choć Jan Englert (76 l.) z pierwszą żoną Barbarą (77 l.) doczekał się trójki dzieci, nie poprzestał na tym, gdy związał się z jej następczynią, Beatą Ścibakówną (51 l.).",KWJP,metrykę,metryka,certificate,starszy wiek,older age,physical appearance,1.0,X,1,1,1,always_euph
